value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
PubChem,124589269,1848,124587421,0.0014832738122895642,100.0,100.0,
TOTAL_RECORDS,124589269,1848,124587421,0.0014832738122895642,100.0,100.0,
TOTAL_ASSIGNMENTS,124589269,1848,124587421,0.0014832738122895642,100.0,100.0,
