atom_count,record_count,percent_of_formula_records,contains_target
1,5,0.0011263798152737104,true
2,73,0.016445145302996168,true
3,191,0.043027708943455735,true
4,2088,0.47037621085830145,true
5,1734,0.39062851993692277,true
6,7595,1.7109709394007662,true
7,4374,0.9853570624014417,true
8,9170,2.065780581211985,true
9,6882,1.5503491777427347,true
10,14408,3.245776075692724,true
11,9372,2.1112863257490426,true
12,16612,3.742284298265375,true
13,10824,2.438387024104528,true
14,16502,3.717503942329353,true
15,13203,2.9743185402117596,true
16,17572,3.9585492227979273,true
17,13853,3.1207479161973417,true
18,21532,4.850642036494706,true
19,14792,3.3322820455057447,true
20,23301,5.249155215138545,true
21,14903,3.357287677404821,true
22,23123,5.209056093714801,true
23,12441,2.8026582563640456,true
24,19363,4.362018472628971,true
25,9482,2.1360666816850644,true
26,14012,3.1565667943230458,true
27,8259,1.8605541788691147,true
28,12903,2.906735751295337,true
29,5581,1.2572651498085154,true
30,12085,2.722460013516558,true
31,3620,0.8154989862581662,true
32,9109,2.0520387474656454,true
33,2397,0.5399864834422168,true
34,7123,1.6046406848389279,true
35,2046,0.4609146204100022,true
36,4144,0.9335435908988511,true
37,1851,0.4169858076143275,true
38,3323,0.7485920252309078,true
39,1735,0.3908537958999775,true
40,4489,1.011263798152737,true
41,1779,0.4007659382743861,true
42,4263,0.9603514305023655,true
43,1592,0.35863933318314933,true
44,3756,0.8461365172336113,true
45,2788,0.6280693849966209,true
46,3398,0.7654877224600135,true
47,1629,0.3669745438161748,true
48,5271,1.1874296012615453,true
49,2206,0.49695877449876097,true
50,3837,0.8643838702410453,true
51,898,0.20229781482315837,true
52,2061,0.4642937598558234,true
53,551,0.12412705564316287,true
54,1549,0.3489524667717955,true
55,434,0.09776976796575805,true
56,1972,0.4442441991439513,true
57,295,0.06645640910114892,true
58,1303,0.29353457986032894,true
59,223,0.05023653976120748,true
60,1585,0.35706240144176615,true
61,303,0.06825861680558684,true
62,2169,0.4886235638657355,true
63,195,0.0439288127956747,true
64,755,0.17008335210633027,true
65,226,0.05091236765037171,true
66,868,0.1955395359315161,true
67,314,0.07073665239918901,true
68,755,0.17008335210633027,true
69,414,0.09326424870466321,true
70,872,0.19644063978373508,true
71,193,0.043478260869565216,true
72,2493,0.561612975895472,true
73,276,0.0621761658031088,true
74,1018,0.2293309303897274,true
75,455,0.10250056318990763,true
76,1612,0.3631448524442442,true
77,310,0.06983554854697004,true
78,2455,0.5530524892993918,true
79,195,0.0439288127956747,true
80,1545,0.34805136291957645,true
81,262,0.05902230232034242,true
82,2325,0.5237666141022753,true
83,212,0.04775850416760532,true
84,1566,0.3527821581437261,true
85,163,0.03671998197792296,true
86,646,0.14552827213336336,true
87,124,0.027934219418788014,true
88,371,0.0835773822933093,true
89,86,0.019373732822707816,true
90,682,0.1536382068033341,true
91,165,0.03717053390403244,true
92,469,0.10565442667267402,true
93,144,0.032439738679882854,true
94,181,0.040774949312908315,true
95,260,0.05857175039423293,true
96,302,0.0680333408425321,true
97,35,0.007884658706915973,true
98,182,0.04100022527596305,true
99,15,0.003379139445821131,true
100,84,0.01892318089659833,true
101,90,0.020274836674926786,true
102,124,0.027934219418788014,true
103,17,0.003829691371930615,true
104,52,0.011714350078846587,true
105,2,0.0004505519261094841,true
106,102,0.02297814823158369,true
107,17,0.003829691371930615,true
108,22,0.004956071187204325,true
109,16,0.003604415408875873,true
110,33,0.007434106780806488,true
111,94,0.021175940527145755,true
112,18,0.004054967334985357,true
113,7,0.0015769317413831944,true
114,12,0.0027033115566569045,true
115,1,0.00022527596305474206,true
116,9,0.0020274836674926784,true
117,10,0.0022527596305474207,true
118,5,0.0011263798152737104,true
119,2,0.0004505519261094841,true
120,13,0.002928587519711647,true
121,6,0.0013516557783284523,true
123,3,0.0006758278891642261,true
124,5,0.0011263798152737104,true
125,1,0.00022527596305474206,true
126,1,0.00022527596305474206,true
128,2,0.0004505519261094841,true
130,1,0.00022527596305474206,true
131,3,0.0006758278891642261,true
132,9,0.0020274836674926784,true
133,1,0.00022527596305474206,true
134,1,0.00022527596305474206,true
136,1,0.00022527596305474206,true
137,4,0.0009011038522189682,true
138,3,0.0006758278891642261,true
139,4,0.0009011038522189682,true
140,8,0.0018022077044379365,true
141,5,0.0011263798152737104,true
142,8,0.0018022077044379365,true
144,2,0.0004505519261094841,true
145,1,0.00022527596305474206,true
146,3,0.0006758278891642261,true
148,1,0.00022527596305474206,true
149,3,0.0006758278891642261,true
150,9,0.0020274836674926784,true
151,2,0.0004505519261094841,true
152,3,0.0006758278891642261,true
153,1,0.00022527596305474206,true
174,1,0.00022527596305474206,true
223,1,0.00022527596305474206,true
226,2,0.0004505519261094841,true
