row_element,column_element,cooccurrence_count,row_element_count,column_element_count,normalized_pmi
Ag,Ce,65,19086,8261,0.2722846212653661
Ag,Cf,1,19086,237,0.17787916945921298
Ag,Cl,2159,19086,21906474,-0.04023208300215477
Ag,Cm,0,19086,692,-1.0
Ag,Cn,0,19086,7,-1.0
Ag,Co,159,19086,45781,0.22997257583312652
Ag,Cr,161,19086,27069,0.26986119011513354
Ag,Cs,55,19086,12307,0.23051912160454083
Ag,Cu,850,19086,67388,0.3708051091015396
Ag,Db,0,19086,105,-1.0
Ag,Ds,0,19086,11,-1.0
Ag,Dy,13,19086,2319,0.22393468056908894
Ag,Er,8,19086,2201,0.1912070310753205
Ag,Es,0,19086,359,-1.0
Ag,Eu,3,19086,5611,0.0712550664710491
Ag,F,2525,19086,25344252,-0.03981326405619968
Ag,Fe,273,19086,81651,0.236595091396211
Ag,Fl,0,19086,8,-1.0
Ag,Fm,0,19086,2120,-1.0
Ag,Fr,0,19086,105,-1.0
Ag,Ga,136,19086,11650,0.3156653967222971
Ag,Gd,17,19086,7718,0.16863867687717085
Ag,Ge,125,19086,47164,0.20639335234863115
Ag,H,15702,19086,124461855,-0.021622008803307818
Ag,He,1,19086,415,0.1478253948175126
Ag,Hf,21,19086,22172,0.11680933349088339
Ag,Hg,114,19086,15140,0.28012312078761914
Ag,Ho,1,19086,1848,0.06769996444461356
Ag,Hs,0,19086,69,-1.0
Ag,I,992,19086,2542800,0.0796171128628584
Ag,In,313,19086,14006,0.38643224096858847
Ag,Ir,106,19086,169603,0.1005964533850408
Ag,K,326,19086,156190,0.20320255167677914
Ag,Kr,0,19086,166,-1.0
Ag,La,79,19086,8114,0.29093262572860973
Ag,Li,249,19086,117297,0.2003196723238141
Ag,Lr,0,19086,861,-1.0
Ag,Lu,2,19086,2717,0.08746043907030947
Ag,Lv,0,19086,5,-1.0
Ag,Mc,0,19086,5,-1.0
Ag,Md,0,19086,96,-1.0
Ag,Mg,212,19086,63053,0.2325120752454677
Ag,Mn,148,19086,30915,0.25228741796346926
Ag,Mo,129,19086,20126,0.27094862376482404
Ag,Mt,0,19086,79,-1.0
Ag,N,8559,19086,110925773,-0.07154446251893576
Ag,Na,522,19086,410484,0.17091343214181384
Ag,Nb,56,19086,6672,0.2739274544651588
Ag,Nd,24,19086,5576,0.2157254027223382
Ag,Ne,2,19086,225,0.22626523365972176
Ag,Nh,0,19086,8,-1.0
Ag,Ni,365,19086,50498,0.30249911502547244
Ag,No,1,19086,366,0.15456582367648605
Ag,Np,0,19086,482,-1.0
Ag,O,12591,19086,109353141,-0.031036863958744845
Ag,Og,0,19086,1,-1.0
Ag,Os,35,19086,8718,0.21650550590041606
Ag,P,2335,19086,2503338,0.16596169995526824
Ag,Pa,1,19086,263,0.17229489293471972
Ag,Pb,259,19086,18301,0.3459218748916953
Ag,Pd,222,19086,48856,0.2560737683892865
Ag,Pm,0,19086,410,-1.0
Ag,Po,6,19086,1385,0.19836023750908618
Ag,Pr,8,19086,3784,0.15848757844757586
Ag,Pt,224,19086,143559,0.1754469103097174
Ag,Pu,1,19086,577,0.13014544190935226
Ag,Ra,1,19086,277,0.16951259728327073
Ag,Rb,28,19086,11197,0.1824252737361324
Ag,Re,35,19086,10228,0.2059163613939403
Ag,Rf,0,19086,5242,-1.0
Ag,Rg,0,19086,9,-1.0
Ag,Rh,54,19086,14946,0.2157183339570743
Ag,Rn,0,19086,138,-1.0
Ag,Ru,84,19086,39255,0.1855635487050809
Ag,S,4286,19086,36318993,-0.0253876396460705
Ag,Sb,234,19086,19105,0.3322994319353062
Ag,Sc,16,19086,3525,0.21356110254775987
Ag,Se,289,19086,120337,0.21213005898358947
Ag,Sg,0,19086,137,-1.0
Ag,Si,558,19086,1825174,0.05610474091308696
Ag,Sm,11,19086,3363,0.18846256879768167
Ag,Sn,430,19086,109311,0.25806795361467416
Ag,Sr,45,19086,8295,0.24046838967762396
Ag,Ta,44,19086,5739,0.26338729158823726
Ag,Tb,5,19086,3117,0.13790271802975845
Ag,Tc,9,19086,3663,0.1687622352520156
Ag,Te,129,19086,20569,0.2693686935808178
Ag,Th,4,19086,1733,0.1572081966867721
Ag,Ti,255,19086,77983,0.23366494520158002
Ag,Tl,33,19086,6312,0.23310330405062818
Ag,Tm,2,19086,1275,0.1296160018851457
Ag,Ts,0,19086,3,-1.0
Ag,U,14,19086,21879,0.08934160074611355
Ag,V,166,19086,39871,0.24410650828437955
Ag,W,122,19086,44325,0.20876212093326416
Ag,Xe,1,19086,588,0.12913234419626493
Ag,Y,56,19086,98196,0.08993755023030049
Ag,Yb,10,19086,3286,0.18294717798553584
Ag,Zn,563,19086,76233,0.3148998770585739
Ag,Zr,124,19086,106659,0.14664799242686477
Al,Ac,5,82361,9776,-0.015065504183470704
Al,Ag,376,82361,19086,0.2670568405423029
Al,Al,82361,82361,82361,
Al,Am,5,82361,380,0.17561597606991314
Al,Ar,34,82361,4079,0.16768494056480007
Al,As,174,82361,33552,0.15279254398249703
Al,At,0,82361,1164,-1.0
Al,Au,270,82361,18070,0.2390778065674576
Al,B,3216,82361,1315877,0.12376621601897773
Al,Ba,669,82361,15764,0.3429791307484088
Al,Be,243,82361,3233,0.36003587199397363
Al,Bh,0,82361,74,-1.0
Al,Bi,266,82361,15692,0.2484679949292365
Al,Bk,17,82361,169,0.3178894626582938
Al,Br,3474,82361,8607410,-0.04704721786294805
Al,C,63520,82361,124377664,-0.03403811451549042
Al,Ca,2127,82361,47081,0.3848135953268602
Al,Cd,110,82361,7961,0.21806490065194667
Al,Ce,331,82361,8261,0.31970327280426825
Al,Cf,1,82361,237,0.09943951652633153
Al,Cl,13107,82361,21906474,-0.01088748141856099
Al,Cm,0,82361,692,-1.0
Al,Cn,0,82361,7,-1.0
Al,Co,952,82361,45781,0.29270206228722023
Al,Cr,988,82361,27069,0.3415287445429453
Al,Cs,163,82361,12307,0.22126969081927436
Al,Cu,1440,82361,67388,0.3057530541206066
Al,Db,0,82361,105,-1.0
Al,Ds,0,82361,11,-1.0
Al,Dy,68,82361,2319,0.26296896474325093
Al,Er,85,82361,2201,0.28649695581159224
Al,Es,0,82361,359,-1.0
Al,Eu,77,82361,5611,0.2121455344099523
Al,F,8223,82361,25344252,-0.07393704877130218
Al,Fe,1795,82361,81651,0.3143423150335031
Al,Fl,0,82361,8,-1.0
Al,Fm,1,82361,2120,-0.01810600763760641
Al,Fr,0,82361,105,-1.0
Al,Ga,691,82361,11650,0.37155825460877867
Al,Gd,151,82361,7718,0.2486656438857702
Al,Ge,252,82361,47164,0.1593846453351549
Al,H,76273,82361,124461855,-0.010241297748122406
Al,He,8,82361,415,0.20365981049789925
Al,Hf,193,82361,22172,0.1926895420855183
Al,Hg,67,82361,15140,0.13170433944444504
Al,Ho,35,82361,1848,0.22241388149104296
Al,Hs,0,82361,69,-1.0
Al,I,2256,82361,2542800,0.026946880029338295
Al,In,500,82361,14006,0.3210250153650026
Al,Ir,433,82361,169603,0.10749481101732632
Al,K,1545,82361,156190,0.23948268532724115
Al,Kr,3,82361,166,0.18859338620330382
Al,La,436,82361,8114,0.35007561603014803
Al,Li,6181,82361,117297,0.44176219532864
Al,Lr,4,82361,861,0.11300791808016658
Al,Lu,80,82361,2717,0.2662557109595644
Al,Lv,0,82361,5,-1.0
Al,Mc,0,82361,5,-1.0
Al,Md,0,82361,96,-1.0
Al,Mg,3054,82361,63053,0.40448479821365285
Al,Mn,1125,82361,30915,0.34508903039391065
Al,Mo,602,82361,20126,0.3114435913132527
Al,Mt,0,82361,79,-1.0
Al,N,27850,82361,110925773,-0.11517061655627252
Al,Na,3279,82361,410484,0.23630258349170277
Al,Nb,338,82361,6672,0.33852475431898493
Al,Nd,164,82361,5576,0.2802893918780247
Al,Ne,2,82361,225,0.14479615768387513
Al,Nh,0,82361,8,-1.0
