value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
PubChem,81469,81469,0,100.0,100.0,100.0,
TOTAL_RECORDS,81469,81469,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,81469,81469,0,100.0,100.0,100.0,
