atom_count,record_count,percent_of_profiled_records,contains_target
0,15236128,12.22908531552585,false
1,22383933,17.966180538389708,true
2,26875298,21.571117814327977,true
3,22188883,17.80962612438155,true
4,15425884,12.381390567433218,true
5,8528008,6.84489769339605,true
6,5046327,4.0503705018126395,true
7,2359021,1.8934383506174997,true
8,1650209,1.3245193693206436,true
9,859278,0.6896886119461862,true
10,712326,0.5717394489247706,true
11,427740,0.3433200976562436,true
12,465917,0.37396238355006317,true
13,300672,0.24133057558913842,true
14,263795,0.21173171824292505,true
15,199435,0.16007397876297036,true
16,203092,0.1630092235311213,true
17,230174,0.18474624808979334,true
18,154518,0.12402191716848422,true
19,94727,0.07603142771469347,true
20,98302,0.07890085622061078,true
21,78219,0.06278149043478215,true
22,67468,0.05415233634607809,true
23,53524,0.04296036121698411,true
24,70191,0.05633791783464112,true
25,46464,0.03729374156613761,true
26,45484,0.036507156968711325,true
27,37779,0.030322836230783246,true
28,40211,0.03227485025215133,true
29,28400,0.022794900578475986,true
30,34328,0.02755293475556069,true
31,25050,0.020106065475028995,true
32,27445,0.022028381914657513,true
33,20955,0.016819265550069164,true
34,20736,0.01664348797166472,true
35,18806,0.015094397897141528,true
36,21893,0.017572139379034322,true
37,14688,0.011789137313262508,true
38,13864,0.01112776414154898,true
39,13241,0.010627721076042271,true
40,15594,0.012516326747209665,true
41,11279,0.00905294660650108,true
42,12682,0.010179046800571565,true
43,9044,0.0072590521419625634,true
44,9786,0.007854609051442463,true
45,9056,0.007268683790094314,true
46,8393,0.006736535230815104,true
47,6981,0.0056032113006458046,true
48,9466,0.007597765101262453,true
49,6679,0.005360814822663419,true
50,6581,0.00528215636292079,true
51,5806,0.004660112421078577,true
52,5801,0.004656099234357014,true
53,4626,0.0037130003547897854,true
54,5114,0.004104687378814302,true
55,4443,0.003566117720780591,true
56,5274,0.004233109353904308,true
57,3589,0.002880665428737687,true
58,3420,0.0027450197175488684,true
59,3001,0.0024087146702819165,true
60,4389,0.0035227753041877146,true
61,3036,0.002436806977332855,true
62,2745,0.0022032395101379077,true
63,2673,0.002145449621347405,true
64,2958,0.0023742012644764774,true
65,2140,0.0017176439168288243,true
66,2547,0.0020443173159640257,true
67,1682,0.0013500360131336834,true
68,2050,0.0016454065558406963,true
69,1505,0.0012079692031903646,true
70,2315,0.0018581054520835176,true
71,1522,0.0012216140380436778,true
72,1871,0.0015017344712087524,true
73,1222,0.0009808228347499173,true
74,1373,0.0011020210737411101,true
75,1188,0.0009535331650432912,true
76,1485,0.001191916456304114,true
77,974,0.0007817687733604088,true
78,1262,0.0010129283285224186,true
79,833,0.0006685969078123414,true
80,1285,0.001031388987441607,true
81,830,0.0006661889957794038,true
82,842,0.0006758206439111542,true
83,663,0.0005321485592792105,true
84,1108,0.0008893221774982883,true
85,646,0.0005185037244258974,true
86,777,0.0006236492165308395,true
87,544,0.0004366347153060189,true
88,657,0.0005273327352133352,true
89,582,0.0004671349343898951,true
90,647,0.00051930636177021,true
91,484,0.00038847647464726676,true
92,494,0.00039650284809039215,true
93,441,0.0003539630688418278,true
94,518,0.00041576614435389296,true
95,373,0.00029938372942857545,true
96,534,0.0004286083418628935,true
97,354,0.0002841336198866373,true
98,522,0.0004189766937311431,true
99,356,0.00028573889457526234,true
100,475,0.00038125273854845395,true
101,277,0.00022233054437457208,true
102,464,0.0003724237277610161,true
103,231,0.00018540922653619552,true
104,345,0.0002769098837878245,true
105,276,0.00022152790703025956,true
106,251,0.0002014619734224462,true
107,197,0.00015811955682956932,true
108,252,0.00020226461076675874,true
109,145,0.00011638241492531752,true
110,185,0.0001484879086978189,true
111,196,0.0001573169194852568,true
112,201,0.00016133010620681946,true
113,151,0.00012119823899119272,true
114,228,0.0001830013145032579,true
115,165,0.00013243516181156822,true
116,180,0.00014447472197625624,true
117,111,0.00008909274521869134,true
118,135,0.00010835604148219218,true
119,140,0.00011236922820375484,true
120,227,0.00018219867715894538,true
121,114,0.00009150065725162895,true
122,149,0.00011959296430256766,true
123,112,0.00008989538256300388,true
124,125,0.00010032966803906684,true
125,92,0.0000738426356767532,true
126,131,0.00010514549210494204,true
127,69,0.00005538197675756489,true
128,112,0.00008989538256300388,true
129,97,0.00007785582239831586,true
130,93,0.00007464527302106572,true
131,73,0.00005859252613481503,true
132,93,0.00007464527302106572,true
133,84,0.0000674215369222529,true
134,80,0.00006421098754500277,true
135,71,0.00005698725144618996,true
136,44,0.000035316043149751525,true
137,39,0.00003130285642818885,true
138,54,0.000043342416592876873,true
139,34,0.00002728966970662618,true
140,74,0.00005939516347912757,true
141,53,0.00004253977924856434,true
142,39,0.00003130285642818885,true
143,27,0.000021671208296438437,true
144,54,0.000043342416592876873,true
145,44,0.000035316043149751525,true
146,30,0.00002407912032937604,true
147,30,0.00002407912032937604,true
148,36,0.00002889494439525125,true
149,20,0.000016052746886250693,true
150,70,0.00005618461410187742,true
151,33,0.000026487032362313644,true
152,30,0.00002407912032937604,true
153,23,0.0000184606589191883,true
154,17,0.00001364483485331309,true
155,8,6.421098754500277e-6,true
156,29,0.000023276482985063506,true
157,22,0.000017658021574875762,true
158,14,0.000011236922820375485,true
159,9,7.223736098812812e-6,true
160,35,0.00002809230705093871,true
161,9,7.223736098812812e-6,true
162,14,0.000011236922820375485,true
163,20,0.000016052746886250693,true
164,8,6.421098754500277e-6,true
165,25,0.000020065933607813364,true
166,19,0.000015250109541938157,true
167,7,5.618461410187742e-6,true
168,18,0.000014447472197625624,true
169,4,3.2105493772501384e-6,true
170,16,0.000012842197509000554,true
171,17,0.00001364483485331309,true
172,11,8.829010787437881e-6,true
173,8,6.421098754500277e-6,true
174,8,6.421098754500277e-6,true
175,12,9.631648131750416e-6,true
176,11,8.829010787437881e-6,true
177,7,5.618461410187742e-6,true
178,12,9.631648131750416e-6,true
179,3,2.407912032937604e-6,true
180,35,0.00002809230705093871,true
181,9,7.223736098812812e-6,true
182,5,4.013186721562673e-6,true
183,4,3.2105493772501384e-6,true
184,9,7.223736098812812e-6,true
185,9,7.223736098812812e-6,true
186,11,8.829010787437881e-6,true
187,4,3.2105493772501384e-6,true
188,12,9.631648131750416e-6,true
189,3,2.407912032937604e-6,true
190,22,0.000017658021574875762,true
191,4,3.2105493772501384e-6,true
192,10,8.026373443125347e-6,true
193,5,4.013186721562673e-6,true
194,2,1.6052746886250692e-6,true
195,12,9.631648131750416e-6,true
196,8,6.421098754500277e-6,true
197,4,3.2105493772501384e-6,true
198,10,8.026373443125347e-6,true
199,5,4.013186721562673e-6,true
200,23,0.0000184606589191883,true
201,6,4.815824065875208e-6,true
202,7,5.618461410187742e-6,true
203,5,4.013186721562673e-6,true
204,5,4.013186721562673e-6,true
205,3,2.407912032937604e-6,true
206,1,8.026373443125346e-7,true
207,2,1.6052746886250692e-6,true
209,2,1.6052746886250692e-6,true
210,12,9.631648131750416e-6,true
211,2,1.6052746886250692e-6,true
212,2,1.6052746886250692e-6,true
213,2,1.6052746886250692e-6,true
214,3,2.407912032937604e-6,true
215,2,1.6052746886250692e-6,true
216,4,3.2105493772501384e-6,true
218,1,8.026373443125346e-7,true
219,1,8.026373443125346e-7,true
220,1,8.026373443125346e-7,true
221,1,8.026373443125346e-7,true
222,1,8.026373443125346e-7,true
223,2,1.6052746886250692e-6,true
225,6,4.815824065875208e-6,true
226,2,1.6052746886250692e-6,true
228,3,2.407912032937604e-6,true
229,1,8.026373443125346e-7,true
230,2,1.6052746886250692e-6,true
231,1,8.026373443125346e-7,true
232,3,2.407912032937604e-6,true
235,1,8.026373443125346e-7,true
240,10,8.026373443125347e-6,true
242,1,8.026373443125346e-7,true
243,1,8.026373443125346e-7,true
244,1,8.026373443125346e-7,true
246,1,8.026373443125346e-7,true
247,2,1.6052746886250692e-6,true
248,1,8.026373443125346e-7,true
249,4,3.2105493772501384e-6,true
250,2,1.6052746886250692e-6,true
252,1,8.026373443125346e-7,true
255,1,8.026373443125346e-7,true
259,2,1.6052746886250692e-6,true
260,1,8.026373443125346e-7,true
261,1,8.026373443125346e-7,true
264,2,1.6052746886250692e-6,true
265,1,8.026373443125346e-7,true
266,1,8.026373443125346e-7,true
267,1,8.026373443125346e-7,true
270,7,5.618461410187742e-6,true
273,1,8.026373443125346e-7,true
275,1,8.026373443125346e-7,true
282,1,8.026373443125346e-7,true
285,2,1.6052746886250692e-6,true
288,1,8.026373443125346e-7,true
297,5,4.013186721562673e-6,true
300,10,8.026373443125347e-6,true
302,2,1.6052746886250692e-6,true
306,1,8.026373443125346e-7,true
310,1,8.026373443125346e-7,true
314,1,8.026373443125346e-7,true
315,1,8.026373443125346e-7,true
319,1,8.026373443125346e-7,true
320,1,8.026373443125346e-7,true
324,1,8.026373443125346e-7,true
327,1,8.026373443125346e-7,true
330,1,8.026373443125346e-7,true
344,1,8.026373443125346e-7,true
345,1,8.026373443125346e-7,true
350,1,8.026373443125346e-7,true
360,2,1.6052746886250692e-6,true
366,1,8.026373443125346e-7,true
369,1,8.026373443125346e-7,true
373,1,8.026373443125346e-7,true
375,1,8.026373443125346e-7,true
396,1,8.026373443125346e-7,true
400,1,8.026373443125346e-7,true
402,1,8.026373443125346e-7,true
403,3,2.407912032937604e-6,true
408,1,8.026373443125346e-7,true
409,3,2.407912032937604e-6,true
414,1,8.026373443125346e-7,true
428,2,1.6052746886250692e-6,true
432,1,8.026373443125346e-7,true
441,3,2.407912032937604e-6,true
729,1,8.026373443125346e-7,true
