element,count,percent_of_records
C,276515,99.99891507966932
H,276511,99.9974685192284
O,271406,98.15129575651494
N,63410,22.931599389551494
S,7777,2.812475137242422
Cl,6106,2.208174513051592
Br,4218,1.5253979849413057
P,1104,0.3992506816916078
I,141,0.05099125554213469
F,122,0.04412009344780449
Si,65,0.023506607164813866
As,28,0.010125923086381357
Se,23,0.00831772253524183
B,3,0.0010849203306837168
