value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Alkaloids,1,1,0,100.0,1.1764705882352942,1.1764705882352942,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Amino acids and Peptides,51,51,0,100.0,60.0,60.0,
Fatty acids,4,4,0,100.0,4.705882352941177,4.705882352941177,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Terpenoids,29,29,0,100.0,34.11764705882353,34.11764705882353,LOW_TOTAL_SUPPORT
TOTAL_RECORDS,85,85,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,85,85,0,100.0,100.0,100.0,
